art,t,bpm,g,ln,s
DragonForce,Through The Fire And Flames,199.97,4,2,1752
96neko,Uso no Hibana,188,3,3,606360
nao,Towa naru Kizuna to Omoi no Kiseki,290,2,3,601392
9mm Parabellum Bullet,Inferno,195,3,3,502553
Elmo and Cookie Monster,Cookie-Butter-Choco-Cookie,136,7,2,542081
Hitsuji to Ojisan,XENO,186,10,5,193373
Suzuki Konomi,Redo,190,3,3,545351
Tatsh,IMAGE -MATERIAL- <Version 0>,260,10,5,432720
Linked Horizon,Shoukei to Shikabane no Michi (TV Size),178,3,3,963873
ClariS,SHIORI -TV size mix-,176,3,3,733027
Icon For Hire,Make a Move (Speed Up Ver.),202.54,4,2,765778
DystopiaGround,AugoEidEs,207,4,3,418826
Drop,Granat,180.96,6,5,333426
Maffalda,Feliz Pascoa pra todos voces apesar de ninguem ter me mandado chocolates,70,10,14,401604
55x55,MY REZHEM KINOLENTY (feat. Cut The Crap),125,10,12,816264
Shuki Levy,The Super Mario Bros. Super Show!,198.1,7,2,81653
Will Stetson,Harumachi Clover (Swing Arrangement) [Dictate Edit],170,3,3,842412
ClariS,SHIORI -TV size mix-,176,3,3,653495
Akiyama Uni,Kanpan Tasogare Shinbun,180,2,5,633255
void feat. Komatsuna,Akatsuki no Tsuki,176,10,3,297668
Drop,Granat,180.96,6,5,497769
LiSA,ADAMAS (TV Size),191,3,3,867287
I MY ME MINE,Troublemaker,186,3,3,368989
Jeff Williams,When It Falls (feat. Casey Lee Williams),231,3,2,366298
SakiZ,"In the soil, daily life with a sardine",200,7,3,1129597
subplaid,If you went out with friends in a way,185,10,12,1532268
Utada Hikaru,Beautiful World,115,5,3,8836
Brad Breeck,Gravity Falls Theme Song,165.8,3,5,527431
"Chito (CV: Minase Inori), Yuuri (CV: Kubo Yurika)",More One Night (Assertive Hardcore Bootleg) [short ver.],170,3,3,781081
Uchida Maaya,youthful beautiful (TV Size),168,3,3,891896
Doma Umaru [CV.Tanaka Aimi],Kakushinteki*Metamaruphose!,278,3,3,332623
toby fox,sans.,128,2,5,584575
CustomiZ,COOLEST,187.99,3,3,502512
dj TAKA,quaver,186,2,5,879085
Kaneko Chiharu,iLLness LiLin,280,2,5,777109
saradisk,220 - Kumano,200,2,3,471346
ClariS,Hitorigoto -TV MIX-,165,3,3,624544
8284 vs wa.,Adularescence,190,2,5,245851
t+pazolite,Refactoring Travel (feat. Nanahira) (Cut Ver.),240,10,3,1493251
Co shu Nie,asphyxia (TV edit),165,3,3,758101
wa. vs celas,Vajuranda,190,2,5,221687
Brad Breeck,Gravity Falls Theme Song (TV Size),165.8,3,5,629031
Parry Gripp,I Wanna Guinea Pig For Christmas,190,4,2,1325929
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,3,3,611826
XXXTENTACION,SAD!,75,9,2,757410
yes we cant,wh,130,10,2,295480
Brad Breeck,Gravity Falls Main Title Theme,165.8,3,5,293039
Krfawy,Kac (TV Size),112,10,5,273355
The Living Tombstone,It's Been So Long,96,10,2,305281
nano,Bull's Eye (TV Size),197,3,3,1604062
Baauer,Harlem Shake,140,10,2,105186
KISIDA KYODAN & THE AKEBOSI ROCKETS,night birds (Cut Ver.),184,2,3,1374425
Sporty-O,Let Me Hit It (Audiostalkers Original Mix),128,10,5,788905
Perfume,Lovefool (30 Byou Ver.),132,5,2,1178794
Oomori Seiko,JUSTadICE (TV Size),185,3,3,991934
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,3,3,600702
Tanya Degurechaff (CV: Yuuki Aoi),Los! Los! Los! (TV Size),240,3,3,904574
Shoji Meguro,Persona Invocation,160,2,5,349296
fripSide,black bullet,155,3,3,164930
soraru x mafumafu,HIBANA,200,4,3,691103
ClariS,Connect -TV MIX-,175,3,3,203567
Reol,No title,200,5,3,320118
cYsmix feat. Emmy,Tear Rain,128,2,3,140662
petit milady,Seishun wa Tabemono desu,185,3,3,724883
Vanic,Samurai (Spirix Remix),150,10,2,594326
Will Stetson,Despacito ft. R3 Music Box,89,5,10,798007
Halozy,Secret Sister Complex,153,2,3,25463
Hanatan,Jishou Mushoku,120,13,3,873024
saradisk,176 - ikazuchi,140,2,3,424208
onoken,P8107,180,10,5,306583
Kido Ibuki & Yamazaki Erii,pupa,240,3,3,192208
DECO*27 feat. marina,Aimai Elegy,210,4,3,43248
"JO*STARS ~TOMMY, Coda, JIN~",JoJo Sono Chi no Kioku ~end of THE WORLD~ (TV Size),220,3,3,623862
EDOGA-SULLIVAN,WONDERFUL WONDER (TV Size),160,3,3,1155991
beatMARIO,Night of Knights,180,2,5,15920
Ben Prunty,Earth in a Jar,130,6,5,495269
Eve,Kaikai Kitan (TV Size),185,5,3,1316755
MYTH & ROID,HYDRA (TV Size),166,3,3,745105
SPYAIR,Rage of Dust,240,4,3,940051
Panda Eyes & Teminite,Highscore,110,10,5,332532
MY FIRST STORY feat. chelly (EGOIST),"1,000,000 TIMES",200,4,3,1210535
Momokurotei Ichimon,Nippon Egao Hyakkei,160,3,3,584520
"Tomita Miyu, Onishi Saori, Ohzora Naomi, Hanazawa Kana",Gabriel Drop Kick,168,3,3,572809
petit milady,A or A!?,182.2,3,3,778804
toby fox,MEGALOVANIA,240,2,5,387700
ClariS,Hitorigoto -TV MIX-,165,3,3,596704
Tapimiru,Hakkensha wa Watashi (TV Size),175,3,3,1104491
Memme,Acid Burst,180,2,5,302535
Ryu*,Rondo Alla Turca (Ryu* Remix),142,10,5,34468
UNDEAD CORPORATION,Everything will freeze,240,2,5,158023
Himeringo,Idola no Circus,181,4,3,147177
