m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,k
0,767046,24726.06,274.46,850,Regret,347650,319,5.42,337928,62553,407236,4
0,992512,13067.16,475.38,162,Cataclysmic Hypernova,400078,402,6.53,366949,61614,408174,4
0,689769,10096.37,254.38,1066,4K Capsaicin,303998,333,5.13,351975,67670,402151,4
256,992512,9220.36,290.31,694,Cataclysmic Hypernova,400078,402,6.53,366949,61614,408174,4
64,767046,6836.84,624.88,30,Regret,347650,319,5.42,337928,62553,407236,4
0,641637,6210.37,129.33,3374,4K Another,283841,96,3.8,328038,69462,400572,4
0,905576,6096.19,159.76,2644,Triumph,347650,319,4.18,332717,62553,407236,4
0,1214524,4795.95,145.8,2864,Insane,573280,181,4.05,200736,47135,422642,4
0,985879,4518.11,193.21,2105,MX,460324,188,4.46,167589,58450,411326,4
0,739841,4238.81,142.46,2994,Another,334363,113,3.92,264614,68346,401529,4
0,1087293,4235.56,115.16,3715,EXPERT,511480,115,4,391254,57595,412225,4
0,975667,3568.6,193.51,2105,Lightning,455164,362,4.7,263852,58234,411543,4
0,758198,3373.19,157.12,2708,Genuine,343093,151,4.2,254170,65694,404082,4
0,1087294,3055.93,185.96,2138,MASTER,511480,115,4.62,258202,57595,412225,4
0,1920615,3029.7,398.13,311,#0000FF,919633,246,6.4,89865,34576,435109,4
0,834370,2786.59,177.74,2333,Daybreak,381397,150,4.54,194663,63983,405795,4
0,1315053,2723.44,407.31,275,Daitatsujin,623951,126,6.11,182988,38152,431688,4
64,689769,2698.06,542.62,78,4K Capsaicin,303998,333,5.13,351975,67670,402151,4
0,884693,2413.64,142.37,2994,4K Insane,407186,177,4.11,263068,62489,407290,4
0,2149349,2280.79,274.43,850,Party,1027900,195,5.17,66761,11581,458197,4
64,975667,2069.8,455.97,188,Lightning,455164,362,4.7,263852,58234,411543,4
0,825237,1975.3,116.99,3715,EXHAUST,377004,115,3.77,155689,58077,411706,4
0,1248862,1933.12,224.47,1576,Black Another,590032,113,4.85,122031,40293,429508,4
0,1263100,1875.03,191.89,2105,7.667 km/s,575053,327,4.63,184795,53884,415951,4
0,784054,1863.57,214.8,1637,GRAVITY,356253,111,4.69,268345,67620,402192,4
0,652299,1823.94,120.4,3365,Poi,288794,250,3.65,206036,73039,396737,4
0,2031389,1777.01,224.05,1576,Lyz's Another,808872,139,4.85,88233,24158,445844,4
0,861184,1750.49,129.24,3374,Avalon vs D arc's EXHAUST,395250,113,4.09,176326,53251,416526,4
0,963330,1745.54,209.27,1765,4K Goddess,387756,347,4.62,134015,56606,413170,4
0,823920,1735.29,132.48,3262,Another,376340,112,4.1,301067,65169,404619,4
0,2847102,1682.27,105.53,3837,Future,1377628,139,3.61,129357,18045,451589,4
0,2755520,1667.98,300.19,622,4K Resurrection,1329899,299,5.38,54629,20333,449451,4
0,1218547,1556.28,111.22,3701,1.023 km/s,575053,327,3.7,232426,53884,415951,4
0,532796,1493.85,355.63,385,Extra,228853,129,5.8,301430,71073,398703,4
0,577429,1483.93,179.55,2291,World's End,251365,329,4.5,130414,72225,397552,4
0,1967430,1438.64,249.82,1066,Last Adventure,942240,152,5.05,92150,23485,446293,4
0,439149,1438.02,112.68,3701,justhow's MX,175684,212,3.65,208730,79065,390751,4
0,1107353,1413.26,117.08,3715,NIGHTMARE,480769,104,3.93,235221,58962,410814,4
0,840232,1384.38,167.35,2531,SY's 4K ULTIMATE Lv.15,382403,110,4.37,126950,59935,410122,4
0,1023071,1343.88,365.63,369,Extra,478161,138,6,149951,54378,415413,4
0,1092805,1339.08,300.41,622,GRAVITY,514461,118,5.46,166662,50709,419124,4
0,2749117,1333.32,364.27,399,HEAVENLY,1326970,183,6.13,39004,10645,459131,4
0,2940873,1323.33,250.23,1066,Eternity,1428416,1232,4.85,20900,19032,450744,4
0,1231247,1322.8,185.08,2138,Another,581729,186,4.48,135369,45382,424408,4
0,1214523,1314.72,87.32,4697,Hard,573280,181,3.21,123885,47135,422642,4
0,847379,1305.99,331.43,456,L45T C4LL,386950,242,5.63,106830,58795,411003,4
0,1033166,1291.09,210.62,1655,Junkies !!!,484327,268,4.52,95191,59771,410008,4
0,1350131,1287.83,105.43,3837,4K Insane Lv.12,636272,143,3.78,228771,47628,422186,4
0,1132009,1271.29,145.8,2864,Hamids' Karasu!,530923,131,4.07,148105,56255,413529,4
0,1129049,1237.1,157.34,2708,Greget,532917,80,4.24,173034,43522,426255,4
0,795971,1231.96,131.38,3262,Emperor of Time,362395,331,3.75,181129,65146,404639,4
0,3497908,1224.7,316.58,533,Devotion,1711665,234,5.63,28133,10119,459657,4
0,2504976,1217.96,233.34,1403,The End,1202872,218,4.83,32971,20939,449105,4
0,522938,1198.69,155.67,2708,Ene's SC,170446,192,4.23,157520,73425,396448,4
0,983881,1185.57,165.57,2531,MX,459223,227,4.32,136877,61617,408173,4
0,724149,1181.7,311.9,560,GRAVITY,326079,110,5.49,191944,66426,403352,4
0,753769,1165.73,216.07,1637,Insanity,340810,131,4.7,261462,68144,401821,4
0,1001518,1133.31,110.34,3701,MEGA's MX,468213,136,3.52,159714,61186,408611,4
0,3917445,1130.39,575.43,39,4K Elixir,1900478,354,7.17,9160,4390,465370,4
0,2355634,1129.11,253.02,1066,Nuclear Fusion,1127488,137,4.89,66568,22869,446915,4
0,2054608,1078.06,257.28,942,It's Fxxkin',913114,161,5,92151,36039,433750,4
0,2399799,1064.65,167.64,2531,Eternity,1149492,91,4.31,51447,22314,447471,4
0,1040757,1042.04,145.35,2864,Avalon's Insane,484327,268,3.93,117837,59771,410008,4
0,754175,1039.8,96.06,4190,Lv.08,323493,111,3.73,222058,67712,402100,4
0,429549,990.72,87.68,4697,HD,176446,137,3.33,340794,68646,401248,4
0,1293172,980.23,351.24,396,Paradox,612842,382,5.78,93006,50916,419129,4
64,3525702,971.43,650.83,19,Eternal White | Extra,1683685,133,5.57,48010,10499,459278,4
0,1114066,962.29,145.87,2864,Insane,516638,89,4.04,210652,58810,410967,4
0,2358147,958.99,109.27,3837,Another,1128753,122,3.64,67759,22968,446846,4
0,829747,946.88,195.36,2045,Zan's Blue Another,376340,112,4.66,161287,65169,404619,4
0,1934665,944.03,188.6,2138,Monochrome of Lunatic,926185,413,4.41,59454,35342,434438,4
