art,t,bpm,g,ln,s
MIMI feat. Hatsune Miku,Ai no Sukima,204,5,3,952409
MIMI feat. Hatsune Miku,Marshmary,182,5,3,962088
Reol,No title,200,5,3,320118
MIMI feat. Hatsune Miku,Mizuoto to Curtain,186,5,3,968171
HO-KAGO TEA TIME,Kira Kira Days,200,3,3,444335
Turbo,PADORU / PADORU,190,10,3,1073074
55x55,MY REZHEM KINOLENTY (feat. Cut The Crap),125,10,12,816264
Drop,Granat,180.96,6,5,497769
AKINO from bless4 & CHiCO with HoneyWorks,MIIRO vs. Ai no Scenario,195,3,3,325158
S3RL,Bass Slut (Original Mix),175,10,2,983911
Komiya Mao,(can you) understand me?,185,2,3,765169
Will Stetson,Harumachi Clover (Swing Arrangement) [Dictate Edit],170,3,3,842412
Aiurabu,Kani*Do-Luck! (TV Size),210,3,3,894883
ViViD,HIKARI (TV Size),210,3,3,1053509
Unknown Artist,Miniministop Hitoyasumi no Uta[Mokuyoubi]Gakusei no Uta,125,7,3,705423
Turbo,PADORU / PADORU,190,10,3,1061287
KANA-BOON,Silhouette,183,3,3,399358
Yasuda Rei,Passcode 4854 -TV edit-,140,3,3,251391
3 Nen E Gumi Utatan (Nagisa & Kayano & Karuma & Isogai & Maehara),Bye Bye YESTERDAY,180,3,3,480765
Station Earth,Cold Green Eyes ft. Roos Denayer,174,10,2,371128
toby fox,Last Goodbye,180,2,5,744772
Tsunamaru,Daidai Genome,135,5,3,221954
Chino(CV.Minase Inori),Shinsaku no Shiawase wa Kochira!,175,3,3,441155
Colors*Slash,Colors Power ni Omakasero!,200,3,3,1115477
Brad Breeck,Gravity Falls Theme Song,165.8,3,5,527431
Yamajet feat. Hiura Masako,Sunglow,180,2,3,1193588
Kugimiya Rie. Horie Yui. Kitamura Eri,Orange,140,3,3,352714
Feint,Vagrant (feat. Veela),175,10,2,354537
EDOGA-SULLIVAN,WONDERFUL WONDER (TV Size),160,5,3,1280506
Mrs. GREEN APPLE,Inferno (TV Size),185,3,3,999645
Aitsuki Nakuru,Monochrome Butterfly,175,4,3,770300
Icon For Hire,Make a Move (Speed Up Ver.),202.54,4,2,765778
ELISA,Dear My Friend -Mada Minu Mirai e- (TV size),129,3,3,471261
ClariS,Hitorigoto -TV MIX-,165,3,3,596704
DECO*27,Ghost Rule,210,4,3,413117
Fujiwara Chika (CV: Kohara Konomi),Chikatto Chika Chika (TV Size),178,3,3,921889
PassCode,Ray,196,3,3,1054931
Will Stetson,Despacito ft. R3 Music Box,89,5,10,798007
Sayuri,Sore wa Chiisana Hikari no Youna (TV Size),144,3,3,1123162
DJ Genericname,Dear You,174.11,10,3,43466
Fujijo Seitokai Shikkou-bu,Best FriendS,163,3,3,249939
Vickeblanka,Black Rover (TV Size),204,3,3,781509
Primary,Sweets Weekend,180,5,3,380545
Meiko,Leave The Lights On (KROT Remix),170,6,2,76623
Komiya Mao,(can you) understand me?,185,2,3,456986
FELT,In my room,165,10,5,206284
Seth Everman,"how to create the weeknd's ""blinding lights""",171,10,5,1207609
Hisui Rika & Hotarubi Kakeru,Natsu no Hi (Short Ver.),138,2,3,41384
Shiena Nishizawa,Meaning,190,5,3,364401
Shiena Nishizawa,Meaning,190,5,3,443589
