id,name,ppOld,ppNew,ppDiff,minuteUpdated
4158549,YesMyDarknesss,24741.6,24056.18,737,28176695
3885626,Motion,22931.6,22193.95,158,28176695
7547506,OYG,22074.8,21280.92,-281,28176695
1830361,Netamaru,21969.6,20840.33,-1296,28176695
8172283,Saikai,21692,20669.86,-473,28176695
2084568,Ttobas,21528.6,20161.19,-950,28176695
7226149,Lexii,21123,20019.10,-244,28176695
566276,Rocma,21179.9,19922.85,-1393,28176695
9155988,AutoLs,20919.5,19686.47,-629,28176695
7620002,fuhie,20807.6,19607.75,-2017,28176695
829284,Bunnrei,20503.9,19187.55,-1367,28176695
2306637,Secre,20426.9,19172.07,-1354,28176695
4982799,ArMa79,20536.7,19148.79,-1058,28176695
5092777,EzGon,19368,18914.54,-1827,28176695
4691991,Lume,20000.6,18771.76,-1585,28176695
8403032,Marvmallow,19586.3,18308.13,-789,28176695
17309439,SirGonzaxz,19462.9,18271.69,-1709,28176695
8928855,_Insomnia,19298.9,18236.31,-1188,28176695
3657951,JISAN,19187.5,18228.82,-667,28176695
5220794,Camme79,19569.1,18227.48,-1627,28176695
8266817,Natsuko,19433.6,18166.10,-1692,28176695
702598,Spectator,18526.8,17972.52,1499,28176695
2389481,Aryssiel,18980.6,17845.34,-553,28176695
9484428,Electr0o,18526,17677.92,-201,28176695
7937519,Rells,18788.5,17530.73,-997,28176695
12863098,VenenoG,18899.7,17415.33,-1942,28176695
741613,Dika312,18263.4,17412.42,-301,28176695
186642,NoteKuroi,18749.9,17410.79,-1382,28176695
3171965,Coevir,17701.5,17319.01,1404,28176695
14571181,WadBot,18649.8,17295.31,-1647,28176695
3438241,Trent,18146.4,17218.81,-1087,28176695
3704228,trig0n,18183.5,17151.56,-1149,28176695
3835436,XisK,18313.9,17108.62,-1804,28176695
3970664,Groex,18180.1,16936.06,-1122,28176695
5502521,Colin,18274.1,16922.62,-1728,28176695
3157472,-Filow-,18019.4,16580.43,-1695,28176695
4327130,Golterboose,17681.4,16570.04,-1217,28176695
16352736,050,17885.1,16561.13,-1635,28176695
2111624,XXXZ,17366.7,16300.78,-927,28176695
4974088,Cameragod,17215.7,16240.74,-685,28176695
3656717,b-a-d-s123,16739.5,16219.49,2840,28176695
14275846,Sleqzy,17391.9,16046.10,-1982,28176695
533210,Dusk,17058.1,16034.41,417,28176695
4365562,rostld,17522.4,16029.58,-1204,28176695
3427748,BoberOfDarkness,17419.9,16001.45,-1983,28176695
4820793,Unlucky_w,16773.7,15851.24,-1113,28176695
7180810,Nipah,17035.6,15794.22,-1892,28176695
8840982,Henrick,17059.5,15768.71,-1218,28176695
16355636,-Rustyy,16756.9,15605.81,-1648,28176695
5490623,Boros,16772.6,15586.79,-1422,28176695
5251714,LechuCzechu88,16750.9,15568.90,-630,28176695
6926006,Dahcreeper,15927.9,15450.80,539,28176695
7326109,Sounny,16692.3,15417.16,-1813,28176695
18531265,fujipuji,15780,15378.04,265,28176695
11754842,SirWaffle79,16577.9,15343.41,-1674,28176695
7612994,Holloh,16321.8,15277.99,-1156,28176695
5351518,Better Headpat,16525.2,15259.30,-1820,28176695
