id,name,ppOld,ppNew,ppDiff,minuteUpdated
7562902,mrekk,24844.8,24121.52,-986,28175220
11367222,lifeline,22649,22263.56,-291,28175220
9269034,Rimuru,21408.4,20648.75,-1241,28175220
10549880,ninerik,20336.7,20145.88,1142,28175220
5199332,Chicony,20327.6,20031.81,0,28175220
6600930,Zoomer,19963.2,19984.58,1089,28175220
12779141,gnahus,20391.4,19970.29,-156,28175220
6447454,Peter FamilyGuy,20024.9,19861.59,2718,28175220
5339515,Mathi,19142.6,19510.99,2729,28175220
4504101,BlackDog5,19534.6,19131.84,-570,28175220
7525949,shimon,19738.9,19040.56,65,28175220
6304246,rayuii,19103.5,19021.49,1510,28175220
7512553,Utami,19598.1,19010.37,-686,28175220
13211727,NyanPotato,19574.1,18818.37,-1464,28175220
4108547,WindowLife,19136.5,18749.47,-708,28175220
12408961,maliszewski,18659.4,18408.89,-52,28175220
2291265,Arnold24x24,18643.9,18388.60,1629,28175220
124493,chocomint,17943.3,18367.79,4095,28175220
10323184,Flaro,18593.5,18349.83,-342,28175220
6114695,ciru,18637.3,18112.06,-658,28175220
8640970,enri,18717,18087.34,-998,28175220
7813296,Rektygon,18474,18034.34,141,28175220
2558286,Rafis,18239.1,18034.01,573,28175220
8856806,kirby_fella1115,18405.7,18033.25,-144,28175220
1419095,Aricin,17870,17908.62,2907,28175220
4787150,Vaxei,18468.8,17895.14,-27,28175220
7341183,ASecretBox,18553.9,17894.52,-1664,28175220
3717598,xootynator,18091.7,17837.27,2254,28175220
2546001,Intercambing,18492.3,17828.93,-978,28175220
4175698,sytho,17934.4,17616.95,577,28175220
11443437,mx10001,18322.3,17599.18,-1360,28175220
3498155,Zaqqy,17549,17442.76,838,28175220
11692602,LpBj3NoP7odrgHT,18039,17416.47,-238,28175220
9642774,Milkteaism,18089.4,17326.72,-834,28175220
5033077,Zylice,17557.5,17265.06,354,28175220
11604978,luciano,17688.1,17188.40,-1063,28175220
14612966,AlertedDragon,17501,17184.95,-1251,28175220
10651184,MINHOCA LOKA,17577.8,17017.15,-823,28175220
3345902,Varvalian,17713.1,16947.85,-1738,28175220
4882979,Dereban,17113.6,16946.13,966,28175220
6937470,kazamabc,17284.6,16886.55,620,28175220
9902255,Apostol,17149.8,16759.17,1345,28175220
5774823,Rupertion,17715.7,16751.41,-1276,28175220
7892320,mx10002,17084.9,16745.72,16,28175220
13962152,zZ CreatorGD Zz,17385.6,16619.13,-1495,28175220
2204373,Spare,17021.6,16577.03,-476,28175220
4581069,etn,16914.4,16576.61,-660,28175220
6142837,NoSin,16604,16441.70,604,28175220
11626318,Reused,16672.4,16410.36,1726,28175220
14097024,RhythmicRS,16430.9,16347.81,1465,28175220
6524092,VoProSSoFF,17155.1,16301.07,-1909,28175220
11415687,Kurumiw,17008.3,16293.88,-1136,28175220
2165650,mcy4,17256.9,16283.32,-1800,28175220
7027766,mx10003,16766.7,16260.74,-601,28175220
10077431,Plasma,16985,16248.52,-1942,28175220
8007528,Raikouhou,16778.3,16222.44,-1275,28175220
9072586,Andros,16729.1,16208.89,-270,28175220
11829390,sakuraskip,16294.9,16198.09,971,28175220
7280590,InBefore,16858.5,16194.77,-1123,28175220
13108233,kasiabarwicka,16608.9,16173.06,-1068,28175220
8181420,big snag,16058.9,16119.81,2364,28175220
12366071,nanoya,17037.9,16082.42,-2104,28175220
6157605,Topoi,16021.1,16078.65,1325,28175220
9224078,FlyingTuna,16897.2,16063.56,-1338,28175220
13204938,Lolu,16664.8,16042.82,-112,28175220
11652827,jordanlr7,16312.2,16022.14,823,28175220
8335950,Reedkatt,16748.7,16006.78,-1193,28175220
1876565,Mastasz,16993.9,15994.70,-2027,28175220
16900233,sowaboat,16096.4,15954.99,30,28175220
2766034,Umbre,16907.6,15943.49,-1426,28175220
4650315,idke,16310.6,15880.00,759,28175220
14215850,Bunnylikemoney,16322.9,15858.35,-1194,28175220
2675255,hqshe,15918.2,15846.92,906,28175220
1860489,_Slow,15852,15837.88,1321,28175220
9942252,Paraqeet,16293.8,15828.54,-602,28175220
18351160,Stixe,16153.4,15804.10,-558,28175220
10092099,Pablohh,15483.9,15804.07,2612,28175220
7918057,vincentsana,15955.6,15766.00,411,28175220
3765989,okinamo,15805.9,15759.00,305,28175220
5447609,Demonical,16458.8,15750.28,-1546,28175220
7342622,Freddie Benson,16614.4,15730.52,-1967,28175220
9067591,MightyDoc,15535.9,15700.38,2891,28175220
2590257,wudci,16192.9,15696.23,-541,28175220
12952320,aimbotcone,16145.4,15661.57,-1009,28175220
8179335,Micca,16488.4,15659.37,-1655,28175220
10073635,dench,16194.2,15636.46,-1886,28175220
14385814,akarinya,16426.1,15631.10,-1897,28175220
11198996,A21,16483.9,15624.93,-1428,28175220
9414229,Pinguinzi,15898.7,15598.40,977,28175220
11552867,Welter,16023.7,15561.10,-641,28175220
5981005,gamer228666,16426.1,15552.15,-1802,28175220
12155780,qazaq airlines,15486,15551.74,554,28175220
