id,name,ppOld,ppNew,ppDiff,minuteUpdated
3174184,shinchikuhome,21339.6,21015.75,745,28176486
12337864,Majimanjiwwwww,21052.1,20678.93,-443,28176486
8741695,syaron105,19293.8,19469.79,2597,28176486
22444525,kotohira_06,20008.5,19300.96,-734,28176486
11680357,kanten_07,19391.8,18912.50,591,28176486
9905079,Nurend,19000.7,18449.06,21,28176486
17015562,Nanas3,19361.2,18437.42,-301,28176486
14947043,hz404,18700.1,18345.49,-444,28176486
26475388,sheplet,18907.1,18301.77,-434,28176486
16320311,Eriha,19182.7,18300.67,-1053,28176486
165027,Peaceful,18744.2,18233.14,1037,28176486
9540073,Grape_Tea,19216.7,18169.59,-854,28176486
983349,applerss,17885.9,17910.12,2293,28176486
15117603,bombjj5,17513.6,17672.77,2000,28176486
7160196,_Kan2,17210.9,17492.04,2679,28176486
8050850,Red Riding Hood,18274.5,17467.25,71,28176486
8057655,goheegy,17985.3,17335.93,293,28176486
9551196,kiyozi11,17885.5,17115.09,-160,28176486
11325757,Shamirin_mzk,17989.4,17095.85,-576,28176486
1382717,Nekomusya7563,17999.7,17089.33,-551,28176486
15252950,Seren58,17161.7,16976.50,1880,28176486
9584873,Minekuchi,17204.3,16514.80,106,28176486
11563671,4sbet1,16816.5,16508.46,712,28176486
6851789,mob w,17553,16498.83,-995,28176486
7632508,miki308,17255.9,16427.41,-1230,28176486
11525993,Alpha Wann,17305.5,16407.07,-1188,28176486
10072733,myucchii,17256.8,16373.17,-1159,28176486
9085164,Laby,17012.3,16294.06,-65,28176486
8987606,kitafuma,16938.2,16274.56,62,28176486
5991961,Ney,16224.8,16262.17,2749,28176486
9119501,ekumea1123,16600.9,16242.96,1374,28176486
10907480,iNeon,16448.2,16212.46,-161,28176486
11601107,Whulf,16342.9,16201.72,1097,28176486
3337332,5henry,16700.3,16147.81,156,28176486
10079336,cat1346,16758.6,16139.58,-84,28176486
7491106,7_7,16310,16119.14,1901,28176486
24664049,TAG_M1Ra,16858.1,16079.13,-909,28176486
14510301,A-40,16913.7,16075.97,-535,28176486
10810508,shake_dan,15967.1,16066.77,1838,28176486
1977606,stu00608,16988.3,16015.62,-622,28176486
19148438,mizkifanboy,16743.5,15975.97,-1047,28176486
9511518,Qroissant,16558.9,15954.95,-16,28176486
13852925,Gra,16437.4,15845.94,1200,28176486
26454214,My Angel Eru,16486.2,15838.84,-871,28176486
3044264,Skull Kid,16700.1,15832.36,-199,28176486
1263669,Ulqui,16651.1,15806.75,-225,28176486
15548173,S t o r m,15409.8,15785.13,-360,28176486
7231722,nananass,16611.4,15752.66,-607,28176486
24748957,BG_SubMessy,15999.5,15742.33,-1364,28176486
9208819,NanaFlow,16285.4,15710.34,-1252,28176486
11604267,Maamu,16402.1,15692.44,-825,28176486
6490509,R J,16131.9,15687.92,697,28176486
5427801,_Doodle_,16391.2,15641.43,-369,28176486
12807783,InherentCross1,16348.3,15610.67,-328,28176486
4609767,ndrrr,16317,15582.69,-30,28176486
8303357,Six b0xes,15786.3,15570.17,944,28176486
12780046,Shinda,16454.6,15500.08,-1600,28176486
2875968,asuasu_yura,16325.7,15496.24,-437,28176486
12874236,cpu_alpha,15759.9,15486.40,1142,28176486
14254867,Lynerrr,16100.8,15481.26,-317,28176486
13613362,MEGAMELA,16266,15462.27,-777,28176486
7612550,frukoyurdakul,15436.6,15456.14,2418,28176486
11293254,Ikakun4,16165.2,15439.43,-1418,28176486
14553146,kagitakun,16017.5,15435.69,-1626,28176486
16500346,odin3,16460.5,15431.19,-1469,28176486
9773619,RAI_4,15987,15411.39,249,28176486
15159808,-yukineko-,15751.2,15386.74,-103,28176486
13664116,AuroraPhasmata,16307.7,15382.31,-875,28176486
6451537,le gagoguigo3,15661,15318.54,1090,28176486
6876752,H1gu_mo,15526.6,15279.29,1426,28176486
1134683,oL0,16012.1,15266.50,-338,28176486
4908773,vysha,15981.4,15265.51,411,28176486
12615278,Maeda,16031.1,15210.63,-1288,28176486
16818858,-call-,15803.6,15187.55,-321,28176486
12136108,Zed0x,16142.4,15159.52,-1615,28176486
6333166,AlvaroYL,15857,15131.37,-487,28176486
12639462,Golden,16114.5,15126.92,-1430,28176486
16491572,Alph,15949,15123.67,-1474,28176486
8264451,vizokaa,15319.2,15118.75,1064,28176486
7609510,Blerargh,15031.5,15096.26,1829,28176486
1152851,4_4,15071.5,15086.65,2205,28176486
7692731,Remi_hs,15192.6,15057.42,1619,28176486
8929896,gekiowata,15256.3,15050.53,1435,28176486
23487206,sevgo7,15262.1,15048.82,-936,28176486
13595910,Ageha24,15042.3,15042.92,1259,28176486
15776151,T w i g,15811.7,15040.73,-633,28176486
12630336,miwoo,15927,15003.89,-612,28176486
2680544,namaniku,15504,14996.62,738,28176486
